permission_name,manifest_path,manifest_type,permissionGroup,protectionLevel,permissionFlags
android.permission.MANAGE_ACTIVITY_STACKS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.APP_INFO,signature|system,
android.permission.START_ANY_ACTIVITY,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature,
android.permission.RESTART_PACKAGES,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.APP_INFO,normal,
android.permission.KILL_BACKGROUND_PROCESSES,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.APP_INFO,normal,
android.permission.SYSTEM_ALERT_WINDOW,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.DISPLAY,dangerous,
android.permission.SET_WALLPAPER,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.WALLPAPER,normal,
android.permission.SET_WALLPAPER_HINTS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.WALLPAPER,normal,
android.permission.SET_TIME,frameworks/base/core/res/AndroidManifest.xml,core,,signature|system,
android.permission.SET_TIME_ZONE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_CLOCK,normal,
android.permission.EXPAND_STATUS_BAR,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.STATUS_BAR,normal,
com.android.launcher.permission.INSTALL_SHORTCUT,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,dangerous,
com.android.launcher.permission.UNINSTALL_SHORTCUT,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,dangerous,
android.permission.READ_SYNC_SETTINGS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYNC_SETTINGS,normal,
android.permission.WRITE_SYNC_SETTINGS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYNC_SETTINGS,normal,
android.permission.READ_SYNC_STATS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYNC_SETTINGS,normal,
android.permission.SET_SCREEN_COMPATIBILITY,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature,
android.permission.ACCESS_ALL_EXTERNAL_STORAGE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.DEVELOPMENT_TOOLS,signature,
android.permission.CHANGE_CONFIGURATION,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.DEVELOPMENT_TOOLS,signature|system|development,
android.permission.WRITE_SETTINGS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,normal,
android.permission.WRITE_GSERVICES,frameworks/base/core/res/AndroidManifest.xml,core,,signature|system,
android.permission.FORCE_STOP_PACKAGES,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature|system,
android.permission.RETRIEVE_WINDOW_CONTENT,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PERSONAL_INFO,signature|system,
android.permission.SET_ANIMATION_SCALE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature|system|development,
android.permission.PERSISTENT_ACTIVITY,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.APP_INFO,normal,
android.permission.GET_PACKAGE_SIZE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,normal,
android.permission.SET_PREFERRED_APPLICATIONS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature,
android.permission.RECEIVE_BOOT_COMPLETED,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.APP_INFO,normal,
android.permission.BROADCAST_STICKY,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,normal,
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,system|signature,
android.permission.MOUNT_FORMAT_FILESYSTEMS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,system|signature,
android.permission.ASEC_ACCESS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature,
android.permission.ASEC_CREATE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature,
android.permission.ASEC_DESTROY,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature,
android.permission.ASEC_MOUNT_UNMOUNT,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature,
android.permission.ASEC_RENAME,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature,
android.permission.WRITE_APN_SETTINGS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature|system,
android.permission.SUBSCRIBED_FEEDS_READ,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,normal,
android.permission.SUBSCRIBED_FEEDS_WRITE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,dangerous,
android.permission.CHANGE_NETWORK_STATE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.NETWORK,normal,
android.permission.CLEAR_APP_CACHE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,dangerous,
android.permission.ALLOW_ANY_CODEC_FOR_PLAYBACK,frameworks/base/core/res/AndroidManifest.xml,core,,signature|system,
android.permission.MANAGE_CA_CERTIFICATES,frameworks/base/core/res/AndroidManifest.xml,core,,signature|system,
