##########################################################
Permission changes from API version 22 to 23
##########################################################
ADDED:
	PERMISSION:                             android.permission.TV_INPUT_HARDWARE    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                     android.permission.ACCESS_CHECKIN_PROPERTIES    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                      android.permission.SEND_RESPOND_VIA_MESSAGE    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                         android.permission.MEDIA_CONTENT_CONTROL    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                      android.permission.RECOVERY    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                       android.permission.RETRIEVE_WINDOW_CONTENT    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                  android.permission.MOVE_PACKAGE    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                      android.permission.SET_TIME    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                 android.permission.BATTERY_STATS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                               android.permission.ACCESS_FM_RADIO    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                          android.permission.MANAGE_DEVICE_ADMINS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                android.permission.REAL_GET_TASKS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                             android.permission.READ_FRAME_BUFFER    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                             android.permission.STOP_APP_SWITCHES    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
